iter	Passed	Remaining
0	12	4875
1	24	4817
2	36	4870
3	48	4809
4	59	4718
5	70	4669
6	81	4627
7	93	4596
8	104	4580
9	116	4565
10	127	4535
11	138	4512
12	149	4490
13	161	4485
14	171	4430
15	183	4449
16	197	4483
17	211	4515
18	224	4530
19	235	4512
20	247	4499
21	258	4480
22	270	4464
23	282	4457
24	294	4446
25	306	4439
26	317	4423
27	329	4408
28	340	4393
29	351	4374
30	363	4362
31	374	4347
32	386	4331
33	397	4309
34	408	4293
35	419	4275
36	430	4262
37	441	4245
38	453	4230
39	464	4212
40	475	4195
41	486	4185
42	499	4181
43	512	4181
44	525	4178
45	538	4179
46	551	4177
47	563	4170
48	576	4161
49	589	4160
50	600	4143
51	613	4138
52	620	4098
53	631	4082
54	644	4074
55	655	4058
56	661	4013
57	673	4008
58	684	3993
59	696	3980
60	708	3971
61	720	3960
62	731	3949
63	743	3938
64	754	3924
65	766	3914
66	778	3901
67	790	3892
68	802	3884
69	813	3871
70	825	3858
71	836	3846
72	847	3831
73	858	3816
74	870	3807
75	882	3796
76	894	3785
77	905	3772
78	916	3757
79	928	3747
80	940	3737
81	951	3726
82	963	3713
83	974	3702
84	986	3690
85	997	3675
86	1008	3664
87	1020	3651
88	1031	3638
89	1042	3625
90	1053	3613
91	1065	3600
92	1077	3590
93	1088	3578
94	1099	3564
95	1112	3556
96	1123	3543
97	1135	3532
98	1145	3518
99	1157	3506
100	1169	3495
101	1180	3484
102	1193	3475
103	1206	3469
104	1218	3459
105	1231	3449
106	1242	3437
107	1254	3425
108	1265	3413
109	1277	3402
110	1289	3391
111	1300	3379
112	1311	3366
113	1323	3354
114	1334	3341
115	1344	3326
116	1356	3315
117	1367	3303
118	1379	3291
119	1392	3283
120	1405	3276
121	1417	3264
122	1427	3250
123	1440	3241
124	1452	3229
125	1463	3216
126	1474	3203
127	1485	3192
128	1497	3181
129	1509	3169
130	1520	3157
131	1532	3145
132	1543	3132
133	1554	3121
134	1566	3108
135	1578	3099
136	1590	3087
137	1601	3074
138	1612	3062
139	1624	3051
140	1636	3040
141	1647	3028
142	1658	3015
143	1670	3004
144	1681	2992
145	1692	2978
146	1704	2967
147	1715	2956
148	1727	2944
149	1739	2934
150	1751	2923
151	1764	2913
152	1775	2900
153	1786	2888
154	1797	2876
