id,accident_risk
517754,0.30743805
517755,0.117458366
517756,0.19341677
517757,0.33204016
517758,0.41258293
517759,0.44936907
517760,0.25820422
517761,0.20068298
517762,0.36721608
517763,0.32754737
517764,0.066364266
517765,0.20678958
517766,0.3112183
517767,0.26645714
517768,0.18724237
517769,0.32300666
517770,0.30842325
517771,0.3149961
517772,0.09457456
517773,0.261674
517774,0.36100662
517775,0.60974437
517776,0.13293618
517777,0.21123597
517778,0.40645942
517779,0.27823284
517780,0.37058938
517781,0.34832639
517782,0.30373943
517783,0.31451255
517784,0.29947895
517785,0.27090117
517786,0.4611133
517787,0.36314586
517788,0.3340875
517789,0.14741498
517790,0.31076846
517791,0.3113811
517792,0.71360314
517793,0.18774672
517794,0.11146203
517795,0.31730694
517796,0.13573661
517797,0.07730277
517798,0.4781126
517799,0.15657343
517800,0.31809452
517801,0.34284732
517802,0.33783066
517803,0.33187044
517804,0.30060968
517805,0.75901884
517806,0.2831706
517807,0.5310339
517808,0.41732317
517809,0.3070655
517810,0.5078621
517811,0.41305643
517812,0.36587194
517813,0.60111666
517814,0.55067
517815,0.04058041
517816,0.56030494
517817,0.16771159
517818,0.578585
517819,0.5764615
517820,0.32973024
517821,0.16478449
517822,0.066307686
517823,0.19885921
517824,0.12081276
517825,0.35414305
517826,0.3091274
517827,0.5117403
517828,0.5948648
517829,0.44754863
517830,0.66738904
517831,0.20143919
517832,0.20071116
517833,0.3103026
517834,0.42682853
517835,0.31866565
517836,0.35188642
517837,0.31385896
517838,0.3973689
517839,0.6522909
517840,0.41336444
517841,0.12059549
517842,0.41651836
517843,0.4832624
517844,0.11972566
517845,0.18325442
517846,0.42687094
517847,0.1059547
517848,0.48362237
517849,0.37648237
517850,0.15169804
517851,0.19676283
517852,0.10779548
517853,0.5698744
517854,0.31371343
517855,0.4760958
517856,0.34672937
517857,0.12055117
517858,0.2461587
517859,0.44019043
517860,0.49841136
517861,0.74639064
517862,0.50610256
517863,0.39345494
517864,0.314821
517865,0.30934414
517866,0.45772946
517867,0.47937468
517868,0.18757549
517869,0.3278326
517870,0.36836317
517871,0.44694877
517872,0.35053456
517873,0.13524263
517874,0.38999563
517875,0.18414688
517876,0.23093341
517877,0.27709046
517878,0.25272635
517879,0.36300072
517880,0.42180568
517881,0.2934198
517882,0.39004067
517883,0.091350466
517884,0.556835
517885,0.06435622
517886,0.48729828
517887,0.5668928
517888,0.34238932
517889,0.339842
517890,0.28861004
517891,0.65254825
517892,0.61069316
517893,0.15011446
517894,0.36691728
517895,0.60103166
517896,0.5700707
517897,0.3027918
517898,0.12939145
517899,0.3701133
517900,0.30816594
517901,0.3303558
517902,0.15648676
517903,0.31518865
517904,0.037505284
517905,0.37807778
517906,0.4457779
517907,0.5645284
517908,0.29760724
517909,0.04684457
517910,0.23152126
517911,0.4865726
517912,0.3955506
517913,0.3612075
517914,0.7073054
517915,0.15647383
517916,0.52752477
517917,0.34476227
517918,0.354095
517919,0.5722113
517920,0.15019554
517921,0.31633615
517922,0.43058836
517923,0.7166298
517924,0.33034042
517925,0.31229502
517926,0.13943376
517927,0.65501636
517928,0.23945974
517929,0.4541944
517930,0.2705467
517931,0.37039185
517932,0.33094066
517933,0.3713193
517934,0.666059
517935,0.1786921
517936,0.68831795
517937,0.3249355
517938,0.46901873
517939,0.46119612
517940,0.4308802
517941,0.47409627
517942,0.33948436
517943,0.30258924
517944,0.04272594
517945,0.31559962
517946,0.084730096
517947,0.46201894
517948,0.5865413
517949,0.31689847
517950,0.120023586
517951,0.3528655
517952,0.35845467
517953,0.39616325
517954,0.32112837
517955,0.4582151
517956,0.24273773
517957,0.34350893
517958,0.6575628
517959,0.2258847
517960,0.13285074
517961,0.67559135
517962,0.32978272
517963,0.13890892
517964,0.4777399
517965,0.34502319
517966,0.056835983
517967,0.17709962
517968,0.73934954
517969,0.62895906
517970,0.30996412
517971,0.2919754
517972,0.35791492
517973,0.331798
517974,0.4463834
517975,0.4631324
517976,0.3210556
517977,0.05296053
517978,0.25859308
517979,0.384681
517980,0.2736563
517981,0.06943976
517982,0.3471484
517983,0.27477723
517984,0.11294105
517985,0.22534636
517986,0.19306363
517987,0.2645151
517988,0.19653441
517989,0.6812548
517990,0.2588378
517991,0.24599008
517992,0.3477465
517993,0.63499385
517994,0.0423827
517995,0.5332883
517996,0.42694744
517997,0.4984777
517998,0.260168
517999,0.31568316
518000,0.49549106
518001,0.34782603
518002,0.37605646
518003,0.5247551
518004,0.46486747
518005,0.29721487
518006,0.35224536
518007,0.43607676
518008,0.17105344
518009,0.47587174
518010,0.67316264
518011,0.46696335
518012,0.22171433
518013,0.4167887
518014,0.3597676
518015,0.063550174
518016,0.20398965
518017,0.3709899
518018,0.45732832
518019,0.368274
518020,0.6277784
518021,0.14716044
518022,0.4006683
518023,0.3966497
518024,0.12778695
518025,0.10562475
518026,0.18676035
518027,0.53029764
518028,0.3474436
518029,0.26263705
518030,0.690698
518031,0.714564
518032,0.24595231
518033,0.35614425
518034,0.2983928
518035,0.30530795
518036,0.49872285
518037,0.13482332
518038,0.15436894
518039,0.29505253
518040,0.4265824
518041,0.39251363
518042,0.25524712
518043,0.32798904
518044,0.41972446
518045,0.34384015
518046,0.13203703
518047,0.34983134
518048,0.37090418
518049,0.23775256
518050,0.4217371
518051,0.15633138
518052,0.35509694
518053,0.3298466
518054,0.26402354
518055,0.3155265
518056,0.41880596
518057,0.12180142
518058,0.30477735
518059,0.2804642
518060,0.34791887
518061,0.3523885
518062,0.6499403
518063,0.42540115
518064,0.14433333
518065,0.33310872
518066,0.20513304
518067,0.31348094
518068,0.6957689
518069,0.15114795
518070,0.49282438
518071,0.1831787
518072,0.53608686
518073,0.3132745
