id,accident_risk
517754,0.29645586
517755,0.124610074
517756,0.18265496
517757,0.32252285
517758,0.4066821
517759,0.46201077
517760,0.26364428
517761,0.19664767
517762,0.3671679
517763,0.32102916
517764,0.081434675
517765,0.19459963
517766,0.31020322
517767,0.26267326
517768,0.17797296
517769,0.31271246
517770,0.3034576
517771,0.30909732
517772,0.088780604
517773,0.2506351
517774,0.37447095
517775,0.6042249
517776,0.13249633
517777,0.21847512
517778,0.40798813
517779,0.28122962
517780,0.37426242
517781,0.33368552
517782,0.2987795
517783,0.3111577
517784,0.3004769
517785,0.25461555
517786,0.46735114
517787,0.35353035
517788,0.3288185
517789,0.1437338
517790,0.29308826
517791,0.3088591
517792,0.7092572
517793,0.18454729
517794,0.113560446
517795,0.3111225
517796,0.13271074
517797,0.091295585
517798,0.48734757
517799,0.15593043
517800,0.3028514
517801,0.32648307
517802,0.3347233
517803,0.32229385
517804,0.29480755
517805,0.76757115
517806,0.27277687
517807,0.54229677
517808,0.42041656
517809,0.29226252
517810,0.50021845
517811,0.41179514
517812,0.3668637
517813,0.6091702
517814,0.54786885
517815,0.035906937
517816,0.5654257
517817,0.16636255
517818,0.56700224
517819,0.5801915
517820,0.31747296
517821,0.16470289
517822,0.050339043
517823,0.19173367
517824,0.12671557
517825,0.35711122
517826,0.29401886
517827,0.5233046
517828,0.6151707
517829,0.46346208
517830,0.6646742
517831,0.19289866
517832,0.19340517
517833,0.30790254
517834,0.41703135
517835,0.31377882
517836,0.35805666
517837,0.3054132
517838,0.37286472
517839,0.6333936
517840,0.41167504
517841,0.11319446
517842,0.4147364
517843,0.49632388
517844,0.12665391
517845,0.19027846
517846,0.42131317
517847,0.11162606
517848,0.473477
517849,0.37118152
517850,0.15272318
517851,0.18593642
517852,0.10643038
517853,0.56091297
517854,0.31401584
517855,0.48375717
517856,0.3345409
517857,0.12522942
517858,0.2398349
517859,0.42905495
517860,0.50232893
517861,0.7545643
517862,0.49698326
517863,0.39087164
517864,0.2992999
517865,0.31084386
517866,0.46942857
517867,0.49155626
517868,0.18455704
517869,0.3081047
517870,0.35740027
517871,0.44453764
517872,0.35194853
517873,0.14109896
517874,0.39794323
517875,0.18441534
517876,0.22521351
517877,0.26779184
517878,0.2419653
517879,0.3619606
517880,0.4125878
517881,0.2778968
517882,0.37486678
517883,0.089462176
517884,0.5499341
517885,0.058795396
517886,0.49109018
517887,0.56351
517888,0.32646406
517889,0.3265825
517890,0.27889508
517891,0.6473081
517892,0.61960673
517893,0.153146
517894,0.3600611
517895,0.6061289
517896,0.5715639
517897,0.2994368
517898,0.13436963
517899,0.3616776
517900,0.30826208
517901,0.3196807
517902,0.15804492
517903,0.30988672
517904,0.03978859
517905,0.3712575
517906,0.45015952
517907,0.5646293
517908,0.2927205
517909,0.053960368
517910,0.22901872
517911,0.49099424
517912,0.39124438
517913,0.35564885
517914,0.72110003
517915,0.15803243
517916,0.52149194
517917,0.33375093
517918,0.34083992
517919,0.5570141
517920,0.1558285
517921,0.30277613
517922,0.43686932
517923,0.720241
517924,0.31803587
517925,0.3143184
517926,0.14398712
517927,0.64733064
517928,0.23824476
517929,0.45969132
517930,0.26576516
517931,0.3621598
517932,0.32488775
517933,0.37419954
517934,0.6563398
517935,0.17725168
517936,0.6880108
517937,0.30686128
517938,0.46940777
517939,0.47166604
517940,0.4183376
517941,0.4684759
517942,0.32660908
517943,0.3051331
517944,0.041391864
517945,0.30617943
517946,0.09045063
517947,0.46961907
517948,0.5832126
517949,0.3103771
517950,0.1272928
517951,0.3471381
517952,0.35692254
517953,0.3891813
517954,0.30772087
517955,0.46904817
517956,0.2451708
517957,0.34306464
517958,0.6575163
517959,0.22461948
517960,0.12959915
517961,0.6712081
517962,0.32219473
517963,0.1408819
517964,0.49274847
517965,0.3448862
517966,0.0663821
517967,0.1856308
517968,0.7021228
517969,0.6272409
517970,0.29327852
517971,0.27926615
517972,0.3571507
517973,0.32334
517974,0.45170555
517975,0.47020787
517976,0.30805606
517977,0.105475344
517978,0.26144105
517979,0.38144913
517980,0.26646203
517981,0.070978604
517982,0.3332013
517983,0.27764517
517984,0.11307596
517985,0.22305343
517986,0.18359004
517987,0.2565534
517988,0.18578982
517989,0.6800297
517990,0.26052085
517991,0.24371326
517992,0.3335647
517993,0.6414545
517994,0.040534616
517995,0.53587824
517996,0.4379966
517997,0.48816386
517998,0.25037295
517999,0.30759317
518000,0.49406517
518001,0.36692804
518002,0.36629957
518003,0.52996546
518004,0.47108456
518005,0.2913902
518006,0.35921627
518007,0.44007325
518008,0.16884512
518009,0.4800971
518010,0.6733567
518011,0.4687005
518012,0.2196374
518013,0.41842818
518014,0.36260313
518015,0.050694585
518016,0.18915585
518017,0.3642546
518018,0.4684658
518019,0.36543995
518020,0.6363952
518021,0.1518554
518022,0.38996693
518023,0.39104244
518024,0.13011095
518025,0.112004586
518026,0.18922795
518027,0.5287484
518028,0.33806428
518029,0.2553025
518030,0.69337726
518031,0.710075
518032,0.24257436
518033,0.3529566
518034,0.295343
518035,0.2992029
518036,0.49450332
518037,0.13140638
518038,0.14290787
518039,0.29194328
518040,0.4173812
518041,0.3875774
518042,0.2605586
518043,0.325947
518044,0.4184887
518045,0.34844914
518046,0.1403125
518047,0.35819834
518048,0.36604932
518049,0.23281391
518050,0.42094344
518051,0.1308225
518052,0.35426754
518053,0.32902792
518054,0.2633094
518055,0.30378878
518056,0.41568232
518057,0.113189824
518058,0.2942811
518059,0.2836782
518060,0.33222026
518061,0.3378403
518062,0.6699519
518063,0.43005362
518064,0.14155333
518065,0.32217288
518066,0.19648954
518067,0.31141296
518068,0.6984939
518069,0.15380467
518070,0.500527
518071,0.17796355
518072,0.5464885
518073,0.30671045
518074,0.41371518
518075,0.54533213
518076,0.17043297
518077,0.22301319
518078,0.25802198
518079,0.5119019
518080,0.37911862
518081,0.6413305
518082,0.26979315
518083,0.30870366
518084,0.35839888
518085,0.16444758
518086,0.28285605
518087,0.29706764
518088,0.370016
518089,0.40700904
518090,0.48712483
518091,0.30702195
518092,0.31693086
518093,0.15077356
518094,0.49244726
518095,0.1656004
518096,0.328297
518097,0.27773055
518098,0.5466437
518099,0.43512088
518100,0.30976015
518101,0.31260446
518102,0.23736325
518103,0.18157409
518104,0.35916397
518105,0.28078878
518106,0.47020853
518107,0.56879246
518108,0.6202396
518109,0.33229756
518110,0.23958918
518111,0.112683
518112,0.32563233
518113,0.19813268
518114,0.49217358
518115,0.2940069
518116,0.47480735
518117,0.55719906
518118,0.3884822
518119,0.35937756
518120,0.08047377
518121,0.47545066
518122,0.33919546
518123,0.49344715
518124,0.55076015
518125,0.1434509
518126,0.19020931
518127,0.15588023
518128,0.14433384
518129,0.27358812
518130,0.2920079
