id,accident_risk
517754,0.2949659
517755,0.12582056
517756,0.18447804
517757,0.32049906
517758,0.40784603
517759,0.46530372
517760,0.2649071
517761,0.19663933
517762,0.36304507
517763,0.3219821
517764,0.08068309
517765,0.19452149
517766,0.30915627
517767,0.2642891
517768,0.17801878
517769,0.3127794
517770,0.3057684
517771,0.30889684
517772,0.088501185
517773,0.2505618
517774,0.37482902
517775,0.61036235
517776,0.1326135
517777,0.2197329
517778,0.4085844
517779,0.28204688
517780,0.37343413
517781,0.33458087
517782,0.2987757
517783,0.31640074
517784,0.3009886
517785,0.25610888
517786,0.465172
517787,0.3571665
517788,0.3274942
517789,0.14127801
517790,0.29469967
517791,0.30708343
517792,0.70754516
517793,0.18507686
517794,0.10977054
517795,0.31524706
517796,0.13177767
517797,0.08921574
517798,0.48581445
517799,0.15625797
517800,0.30431712
517801,0.32630855
517802,0.33530563
517803,0.32244754
517804,0.29465684
517805,0.7615473
517806,0.2728168
517807,0.5402184
517808,0.41867998
517809,0.2924625
517810,0.49875048
517811,0.41044414
517812,0.36797303
517813,0.60978466
517814,0.54776514
517815,0.039509133
517816,0.5630646
517817,0.16682531
517818,0.5702148
517819,0.5796767
517820,0.3182912
517821,0.16490924
517822,0.050014436
517823,0.1914003
517824,0.12441763
517825,0.36090544
517826,0.29329017
517827,0.5186889
517828,0.6111205
517829,0.46507102
517830,0.66892356
517831,0.1940382
517832,0.19251959
517833,0.3074869
517834,0.41826275
517835,0.3116293
517836,0.35494554
517837,0.30515763
517838,0.37587646
517839,0.6347175
517840,0.40721083
517841,0.11161572
517842,0.41408378
517843,0.49176866
517844,0.12627998
517845,0.18943816
517846,0.41998938
517847,0.11123061
517848,0.4816242
517849,0.36964175
517850,0.1493296
517851,0.18556237
517852,0.10687377
517853,0.5598797
517854,0.31342956
517855,0.48025978
517856,0.33870053
517857,0.12457263
517858,0.23790228
517859,0.42772573
517860,0.5046315
517861,0.7545823
517862,0.50027806
517863,0.39177695
517864,0.30071455
517865,0.30745435
517866,0.47577724
517867,0.48994473
517868,0.18612537
517869,0.30737334
517870,0.3575727
517871,0.4473649
517872,0.3520676
517873,0.1427864
517874,0.4000324
517875,0.1862137
517876,0.22410695
517877,0.26694363
517878,0.241329
517879,0.3660573
517880,0.41244724
517881,0.2774568
517882,0.37250674
517883,0.08829918
517884,0.54934144
517885,0.060545366
517886,0.49197245
517887,0.5604439
517888,0.32471263
517889,0.32965875
517890,0.2762712
517891,0.646709
517892,0.62173355
517893,0.1519945
517894,0.36707264
517895,0.6042533
517896,0.5670975
517897,0.29712188
517898,0.13242306
517899,0.36887118
517900,0.30785072
517901,0.31984964
517902,0.16096367
517903,0.31013435
517904,0.045483325
517905,0.37250224
517906,0.44859567
517907,0.5675794
517908,0.29359278
517909,0.05338637
517910,0.22886513
517911,0.49065018
517912,0.38663515
517913,0.35478494
517914,0.7204288
517915,0.15812185
517916,0.52567065
517917,0.33008826
517918,0.34865558
517919,0.5604911
517920,0.15425631
517921,0.3017667
517922,0.43514574
517923,0.7189623
517924,0.31884906
517925,0.31318295
517926,0.14234753
517927,0.6454809
517928,0.23727246
517929,0.4570559
517930,0.26713675
517931,0.3606184
517932,0.32325244
517933,0.37554464
517934,0.6571891
517935,0.17654464
517936,0.69223434
517937,0.30996922
517938,0.47004297
517939,0.4707633
517940,0.4169165
517941,0.47128224
517942,0.32808954
517943,0.3034645
517944,0.04465299
517945,0.30613062
517946,0.09094247
517947,0.46986353
517948,0.582709
517949,0.3081864
517950,0.12702334
517951,0.3457166
517952,0.36033174
517953,0.39149776
517954,0.30547854
517955,0.46847165
517956,0.244464
517957,0.34431687
517958,0.6556896
517959,0.22365572
517960,0.12884259
517961,0.6747902
517962,0.32259098
517963,0.14034468
517964,0.49998215
517965,0.34408408
517966,0.06571522
517967,0.1848256
517968,0.7031373
517969,0.6267356
517970,0.29426193
517971,0.2789336
